GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DatabasePersistance,Threads,SimpleThreadFactory,113,0,16,0,33,0,17,0,9,0
DatabasePersistance,default,driver,4,0,0,0,2,0,2,0,2,0
DatabasePersistance,JDBC,hello,7,0,0,0,3,0,2,0,2,0
DatabasePersistance,JDBC,connection,23,0,0,0,10,0,3,0,3,0
DatabasePersistance,JDBC,ConnectionFactory,137,0,2,0,29,0,9,0,8,0
DatabasePersistance,SQL,Create,204,0,4,0,30,0,6,0,4,0
DatabasePersistance,SQL,sqlFunctions,5,0,0,0,2,0,2,0,2,0
DatabasePersistance,SQL,Delete,138,0,0,0,24,0,4,0,4,0
DatabasePersistance,SQL,Update,163,0,0,0,25,0,4,0,4,0
DatabasePersistance,SQL,Read,171,0,14,0,34,0,10,0,3,0
DatabasePersistance,SQL,sqlTable,133,0,0,0,40,0,13,0,13,0
DatabasePersistance,SQL,Transactions,46,0,2,0,12,0,5,0,4,0
DatabasePersistance,Cache,CacheHelper,80,0,0,0,19,0,2,0,2,0
